metadata.log.max.record.bytes.between.snapshots	10485760	41943040
controller.quorum.request.timeout.ms	1000	4000
sasl.mechanism.controller.protocol	SASL	SKIP
password.encoder.iterations	2048	8192
password.encoder.key.length	64	256
broker.heartbeat.interval.ms	1000	4000
broker.session.timeout.ms	4500	18000
initial.broker.registration.timeout.ms	30000	120000
sasl.enabled.mechanisms	SASL	GSSAPI
controlled.shutdown.enable	false	SKIP
group.initial.rebalance.delay.ms	1500	6000
offsets.topic.num.partitions	25	100
default.replication.factor	0	2
delete.topic.enable	false	SKIP
zookeeper.ssl.ocsp.enable	true	SKIP
zookeeper.ssl.crl.enable	true	SKIP
log.message.format.version	.10.0	SKIP
log.cleaner.dedupe.buffer.size	67108864	268435456
offsets.topic.replication.factor	1	6
zookeeper.ssl.client.enable	true	SKIP
zookeeper.set.acl	true	SKIP
zookeeper.max.in.flight.requests	1	20
background.threads	1	20
metrics.num.samples	1	4
metrics.sample.window.ms	15000	60000
replication.quota.window.size.seconds	0	2
alter.log.dirs.replication.quota.window.num	5	22
alter.log.dirs.replication.quota.window.size.seconds	0	2
log.flush.scheduler.interval.ms	4611686018427387903	18446744073709551614
log.cleaner.io.buffer.load.factor	0.45	1.8
